MERIDIAN WHOLESALE SUPPLY
Price list effective 07/01/2026 - Net 30 terms available on approval
Questions? sales@meridianwholesale.example

Item Description,UPC Code,Brand,Case Cost,Case Pack,MOQ,MSRP
Stainless Steel French Press 34oz,195949036323,Kitchenly,$144.00,12,24,$39.99
Ceramic Nonstick Fry Pan 10in,0812345678901,Kitchenly,"1,080.00",24,48,$59.99
LED Desk Lamp with USB-C,7.7768100005E+11,Lumitek,$276.00,12,12,$44.99
Bluetooth Earbuds Pro,88381675681,Sonic,$960.00,24,24,$79.99
Dog Chew Toy Variety 5-pack,04963406,PawPile,$96.00,24,72,$18.99
,,,,,,
Cordless Drill 20V Kit,10195949036320,BuildRite,$1980.00,6,6,$249.00
Silicone Baking Mat Set,1.95949E+11,Kitchenly,$72.00,24,48,$14.99
Discontinued - do not order,999,Kitchenly,$0.00,0,0,$0.00
Air Purifier HEPA Medium Room,036000291452,Aeris,$1440.00,8,16,$189.99
